Victory Sweet Shop/Victory Garden Cafe,Ad 4.5,341,21-69 Steinway St,Restaurant,Open ⋅ Closes 12 am,
Peak Restaurant & Bar,4.5,"1,170",30 Hudson Yards 101st floor,American,Open ⋅ Closes 10 PM,
La Nacional,4.6,594,239 W 14th St,Spanish,Closed ⋅ Opens 4 PM,
Antalia NYC Restaurant/Caterer,4.2,686,17 W 45th St,Turkish,Open ⋅ Closes 9:30 PM,
Uncle Lou,4.5,912,73 Mulberry St,Chinese,Open ⋅ Closes 10 PM,
wagamama,4.2,"1,763","210 5th Avenue at, W 26th St",Asian Fusion,Open ⋅ Closes 10 PM,
Bad Roman,3.9,247,10 Columbus Cir,Restaurant,,
Kahlo,4.4,429,525 W 29th St,Mexican,Opens soon ⋅ 12 PM,
Spice Symphony,4.4,594,182 Lexington Ave,Indian,Open ⋅ Closes 2:45 PM ⋅ Reopens 5 PM,
Brooklyn Chop House Steakhouse Downtown NYC,4.2,"1,558",150 Nassau St,Steak,Closed ⋅ Opens 4 PM,
Le Sia,4.4,359,651 9th Ave,Chinese,Closed ⋅ Opens 3:30 PM,
Natsumi,4.2,843,226 W 50th St,Sushi,Opens soon ⋅ 12 PM,
Kimika,4.0,298,40 Kenmare St,Japanese,Closed ⋅ Opens 5 PM,
Meijin Ramen,4.5,928,1574 2nd Ave,Ramen,Opens soon ⋅ 12 PM,
Pera Mediterranean Brasserie,4.1,619,303 Madison Ave,Mediterranean,Open ⋅ Closes 9:30 PM,
Tiny's & The Bar Upstairs,4.4,822,135 W Broadway,American,Closed ⋅ Opens 5 PM,
Benares,4.2,"1,661",45 Murray Street,Indian,Open ⋅ Closes 10:30 PM,
Kochi,4.6,554,652 10th Ave,Korean,Closed ⋅ Opens 5 PM,
La Mercerie,4.3,"1,037",53 Howard St,French,Open ⋅ Closes 10 PM,
queensyard,4.2,875,20 Hudson Yards,New American,Open ⋅ Closes 10 PM,
Il Cantinori,4.6,375,32 E 10th St,Italian,Opens soon ⋅ 12 PM,
North River Lobster Company,4.2,"1,020","Pier 81, W 41st St",Seafood,Closed ⋅ Opens 2 PM,
Rintintin,4.1,599,14 Spring St,Restaurant,Open ⋅ Closes 1 AM,
Pastis,4.5,"1,890",52 Gansevoort St,French,Open ⋅ Closes 11 PM,
Osteria Carlina West Village,4.8,558,455 Hudson St,Northern Italian,Closed ⋅ Opens 4:30 PM,
Panna II Garden Indian Restaurant,3.5,876,93 1st Ave. #2,North Indian,Closed ⋅ Opens 2 PM,
Cocoron,4.4,"1,126",16 Delancey St,Soba noodle shop,Closed ⋅ Opens 12 PM Thu,
